pft_index,pft,param,min,max
1,broadleaf_evergreen_tropical_tree,taulnir,0.27,0.39
2,needleleaf_evergreen_extratrop_tree,taulnir,0.23,0.39
3,needleleaf_colddecid_extratrop_tree,taulnir,0.38,0.46
4,broadleaf_evergreen_extratrop_tree,taulnir,0.23,0.43
5,broadleaf_hydrodecid_tropical_tree,taulnir,0.37,0.49
6,broadleaf_colddecid_extratrop_tree,taulnir,0.33,0.53
7,broadleaf_evergreen_extratrop_shrub,taulnir,0.27,0.39
8,broadleaf_hydrodecid_extratrop_shrub,taulnir,0.37,0.49
9,broadleaf_colddecid_extratrop_shrub,taulnir,0.37,0.49
10,arctic_c3_grass,taulnir,0.34,0.46
11,cool_c3_grass,taulnir,0.34,0.46
12,c4_grass,taulnir,0.34,0.46
1,broadleaf_evergreen_tropical_tree,taulvis,0.04,0.08
2,needleleaf_evergreen_extratrop_tree,taulvis,0.02,0.07
3,needleleaf_colddecid_extratrop_tree,taulvis,0.04,0.08
4,broadleaf_evergreen_extratrop_tree,taulvis,0.01,0.18
5,broadleaf_hydrodecid_tropical_tree,taulvis,0.03,0.07
6,broadleaf_colddecid_extratrop_tree,taulvis,0.01,0.14
7,broadleaf_evergreen_extratrop_shrub,taulvis,0.04,0.08
8,broadleaf_hydrodecid_extratrop_shrub,taulvis,0.04,0.08
9,broadleaf_colddecid_extratrop_shrub,taulvis,0.04,0.08
10,arctic_c3_grass,taulvis,0.04,0.08
11,cool_c3_grass,taulvis,0.03,0.07
12,c4_grass,taulvis,0.03,0.07
1,broadleaf_evergreen_tropical_tree,rholnir,0.42,0.5
2,needleleaf_evergreen_extratrop_tree,rholnir,0.31,0.51
3,needleleaf_colddecid_extratrop_tree,rholnir,0.37,0.41
4,broadleaf_evergreen_extratrop_tree,rholnir,0.42,0.5
5,broadleaf_hydrodecid_tropical_tree,rholnir,0.35,0.47
6,broadleaf_colddecid_extratrop_tree,rholnir,0.34,0.48
7,broadleaf_evergreen_extratrop_shrub,rholnir,0.35,0.47
8,broadleaf_hydrodecid_extratrop_shrub,rholnir,0.22,0.47
9,broadleaf_colddecid_extratrop_shrub,rholnir,0.22,0.47
10,arctic_c3_grass,rholnir,0.22,0.34
11,cool_c3_grass,rholnir,0.22,0.34
12,c4_grass,rholnir,0.36,0.48
1,broadleaf_evergreen_tropical_tree,rholvis,0.04,0.23
2,needleleaf_evergreen_extratrop_tree,rholvis,0.04,0.13
3,needleleaf_colddecid_extratrop_tree,rholvis,0.04,0.12
4,broadleaf_evergreen_extratrop_tree,rholvis,0.04,0.23
5,broadleaf_hydrodecid_tropical_tree,rholvis,0.02,0.14
6,broadleaf_colddecid_extratrop_tree,rholvis,0.02,0.14
7,broadleaf_evergreen_extratrop_shrub,rholvis,0.07,0.15
8,broadleaf_hydrodecid_extratrop_shrub,rholvis,0.04,0.12
9,broadleaf_colddecid_extratrop_shrub,rholvis,0.04,0.12
10,arctic_c3_grass,rholvis,0.01,0.09
11,cool_c3_grass,rholvis,0.01,0.09
12,c4_grass,rholvis,0.01,0.09
1,broadleaf_evergreen_tropical_tree,xl,0.09,0.45
2,needleleaf_evergreen_extratrop_tree,xl,-0.15,0.17
3,needleleaf_colddecid_extratrop_tree,xl,-0.15,0.17
4,broadleaf_evergreen_extratrop_tree,xl,0.09,0.45
5,broadleaf_hydrodecid_tropical_tree,xl,-0.42,0.84
6,broadleaf_colddecid_extratrop_tree,xl,-0.3,0.95
7,broadleaf_evergreen_extratrop_shrub,xl,0.01,0.01
8,broadleaf_hydrodecid_extratrop_shrub,xl,0.25,0.25
9,broadleaf_colddecid_extratrop_shrub,xl,0.25,0.25
10,arctic_c3_grass,xl,-0.02,0.54
11,cool_c3_grass,xl,-0.41,0.04
12,c4_grass,xl,-0.41,0.04
1,broadleaf_evergreen_tropical_tree,medlynslope,1.63,4.59
2,needleleaf_evergreen_extratrop_tree,medlynslope,1.29,4.7
3,needleleaf_colddecid_extratrop_tree,medlynslope,1.29,4.7
4,broadleaf_evergreen_extratrop_tree,medlynslope,1.63,4.59
5,broadleaf_hydrodecid_tropical_tree,medlynslope,3.19,5.11
6,broadleaf_colddecid_extratrop_tree,medlynslope,3.19,5.11
7,broadleaf_evergreen_extratrop_shrub,medlynslope,2.25,9.27
8,broadleaf_hydrodecid_extratrop_shrub,medlynslope,2.25,9.27
9,broadleaf_colddecid_extratrop_shrub,medlynslope,2.25,9.27
10,arctic_c3_grass,medlynslope,2,2.44
11,cool_c3_grass,medlynslope,3.05,9.45
12,c4_grass,medlynslope,0.53,4.03
1,broadleaf_evergreen_tropical_tree,sla,0.0158,0.022
2,needleleaf_evergreen_extratrop_tree,sla,0.0073,0.0127
3,needleleaf_colddecid_extratrop_tree,sla,0.0177,0.0226
4,broadleaf_evergreen_extratrop_tree,sla,0.0158,0.022
5,broadleaf_hydrodecid_tropical_tree,sla,0.0278,0.0336
6,broadleaf_colddecid_extratrop_tree,sla,0.0278,0.0336
7,broadleaf_evergreen_extratrop_shrub,sla,0.0147,0.0212
8,broadleaf_hydrodecid_extratrop_shrub,sla,0.0248,0.0337
9,broadleaf_colddecid_extratrop_shrub,sla,0.0248,0.0337
10,arctic_c3_grass,sla,0.0178,0.0242
11,cool_c3_grass,sla,0.0371,0.0434
12,c4_grass,sla,0.0351,0.0418
